name,class,itemLV,battleLV,expeditionLV,engraving_simple,engraving_detail,stat,card,gem_simple,equipmentLV,power,vitality
유혈랑,홀리나이트,1620.83,60,231,333331,"구슬동자 Lv. 3,급소 타격 Lv. 3,각성 Lv. 3,축복의 오라 Lv. 3,전문의 Lv. 3,중갑 착용 Lv. 1","치명 65,특화 555,신속 1819","창의 달인 6세트,30각성합계","10레벨 홍염 x3,9레벨 홍염 x4,8레벨 멸화 x2,7레벨 멸화 x1,7레벨 홍염 x1","23 사로잡힌 광기의 갈망 한손검,17 사로잡힌 광기의 갈망 투구,20 사로잡힌 광기의 갈망 상의,20 사로잡힌 광기의 갈망 하의,18 사로잡힌 광기의 갈망 장갑,17 사로잡힌 광기의 갈망 견갑",55454,207506
강배,스트라이커,1616.67,60,253,333331,"원한 Lv. 3,기습의 대가 Lv. 3,돌격대장 Lv. 3,질량 증가 Lv. 3,아드레날린 Lv. 3,오의난무 Lv. 1","치명 363,특화 829,신속 1243","세상을 구하는 빛 6세트,30각성합계","10레벨 멸화 x3,10레벨 홍염 x4,8레벨 홍염 x1,7레벨 홍염 x3","20 가라앉은 욕망의 배신 건틀릿,18 가라앉은 욕망의 배신 머리장식,18 가라앉은 욕망의 배신 상의,18 가라앉은 욕망의 배신 하의,18 가라앉은 욕망의 배신 장갑,18 가라앉은 욕망의 배신 견갑",59254,184334
킹기다킹기,리퍼,1613.33,60,268,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,달의 소리 Lv. 3,아드레날린 Lv. 1","치명 617,특화 1806,신속 56","카제로스의 군단장 6세트,18각성합계","10레벨 멸화 x3,10레벨 홍염 x3,7레벨 홍염 x5","21 타락한 마수의 사멸 대거,17 타락한 마수의 사멸 머리장식,17 타락한 마수의 사멸 상의,17 타락한 마수의 사멸 하의,17 타락한 마수의 사멸 장갑,17 타락한 마수의 사멸 견갑",58486,190973
너와떠나는여행,블레이드,1607.5,60,222,333331,"원한 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,버스트 Lv. 3,아드레날린 Lv. 3,에테르 포식자 Lv. 1","치명 612,특화 1768,신속 56","세상을 구하는 빛 6세트,30각성합계","10레벨 멸화 x1,7레벨 멸화 x3,7레벨 홍염 x7","19 타락한 마수의 사멸 검,15 타락한 마수의 사멸 머리장식,15 타락한 마수의 사멸 상의,15 타락한 마수의 사멸 하의,19 타락한 마수의 사멸 장갑,16 타락한 마수의 사멸 견갑",56039,201718
퍄닥퍄닥퍄닥퍄닥,아르카나,1605.83,60,236,333331,"원한 Lv. 3,저주받은 인형 Lv. 3,바리케이드 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 3,황후의 은총 Lv. 1","치명 654,특화 1782,신속 48","세상을 구하는 빛 6세트,30각성합계","10레벨 멸화 x2,9레벨 멸화 x1,9레벨 홍염 x1,8레벨 홍염 x3,7레벨 홍염 x4","20 전이된 몽환의 악몽 마법 덱,15 전이된 몽환의 악몽 머리장식,16 전이된 몽환의 악몽 상의,15 전이된 몽환의 악몽 하의,16 전이된 몽환의 악몽 장갑,15 전이된 몽환의 악몽 어깨장식",55838,175470
남순이견주,인파이터,1605.83,60,186,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,극의: 체술 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,아드레날린 Lv. 1","치명 1282,특화 60,신속 1133","세상을 구하는 빛 6세트,30각성합계","10레벨 멸화 x5,9레벨 멸화 x2,7레벨 홍염 x4","20 타락한 마수의 사멸 헤비 건틀릿,16 타락한 마수의 사멸 머리장식,14 타락한 마수의 사멸 상의,15 타락한 마수의 사멸 하의,16 타락한 마수의 사멸 장갑,16 타락한 마수의 사멸 견갑",56817,192809
피망꼬치구이,창술사,1605.0,60,192,333332,"원한 Lv. 3,예리한 둔기 Lv. 3,돌격대장 Lv. 3,절정 Lv. 3,질량 증가 Lv. 3,저주받은 인형 Lv. 2","치명 61,특화 1778,신속 620","세상을 구하는 빛 6세트,30각성합계","10레벨 홍염 x1,9레벨 멸화 x6,9레벨 홍염 x1,7레벨 홍염 x3","21 전이된 몽환의 악몽 창,15 전이된 몽환의 악몽 머리장식,15 전이된 몽환의 악몽 상의,15 전이된 몽환의 악몽 하의,15 전이된 몽환의 악몽 장갑,15 전이된 몽환의 악몽 견갑",62479,193419
신레델라,워로드,1604.17,60,187,333331,"저주받은 인형 Lv. 3,안정된 상태 Lv. 3,원한 Lv. 3,바리케이드 Lv. 3,정밀 단도 Lv. 3,전투 태세 Lv. 1","치명 61,특화 1800,신속 537","세상을 구하는 빛 6세트,18각성합계",,"17 전이된 몽환의 악몽 랜스,16 전이된 몽환의 악몽 투구,15 전이된 몽환의 악몽 상의,16 전이된 몽환의 악몽 하의,15 전이된 몽환의 악몽 장갑,16 전이된 몽환의 악몽 견갑",52895,219245
배낼,배틀마스터,1603.33,60,238,333331,"원한 Lv. 3,초심 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,돌격대장 Lv. 3,각성 Lv. 1","치명 684,특화 60,신속 1827","세상을 구하는 빛 6세트,30각성합계","10레벨 홍염 x1,9레벨 멸화 x4,9레벨 홍염 x1,8레벨 멸화 x1,8레벨 홍염 x2,7레벨 홍염 x2","19 타락한 마수의 사멸 건틀릿,15 고요한 광기의 지배 머리장식,15 고요한 광기의 지배 상의,15 고요한 광기의 지배 하의,15 타락한 마수의 사멸 장갑,15 고요한 광기의 지배 견갑",56769,235812
커피바드세요,바드,1600.0,60,200,333331,"급소 타격 Lv. 3,최대 마나 증가 Lv. 3,절실한 구원 Lv. 3,각성 Lv. 3,전문의 Lv. 3,중갑 착용 Lv. 1","치명 65,특화 727,신속 1516","남겨진 바람의 절벽 6세트,30각성합계","10레벨 홍염 x1,7레벨 홍염 x7,5레벨 홍염 x1","13 사로잡힌 광기의 갈망 리아네 하프,15 사로잡힌 광기의 갈망 머리장식,16 사로잡힌 광기의 갈망 상의,16 사로잡힌 광기의 갈망 하의,15 사로잡힌 광기의 갈망 장갑,15 사로잡힌 광기의 갈망 어깨장식",42295,176410
블루밍소설,배틀마스터,1595.83,60,223,333322,"원한 Lv. 3,돌격대장 Lv. 3,질량 증가 Lv. 3,아드레날린 Lv. 3,오의 강화 Lv. 2,각성 Lv. 2","치명 65,특화 866,신속 1574","세상을 구하는 빛 6세트,30각성합계","10레벨 홍염 x2,9레벨 멸화 x5,9레벨 홍염 x1,7레벨 홍염 x3","18 가라앉은 욕망의 배신 건틀릿,13 가라앉은 욕망의 배신 머리장식,13 가라앉은 욕망의 배신 상의,14 가라앉은 욕망의 배신 하의,13 가라앉은 욕망의 배신 장갑,14 가라앉은 욕망의 배신 견갑",54546,173448
채연,기공사,1588.33,60,240,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,역천지체 Lv. 3,아드레날린 Lv. 3,속전속결 Lv. 1","치명 535,특화 1784,신속 125","세상을 구하는 빛 6세트,30각성합계","9레벨 멸화 x3,9레벨 홍염 x2,7레벨 멸화 x2,7레벨 홍염 x4","22 몽환의 환각 기공패,19 몽환의 환각 머리장식,14 차오른 몽환의 환각 상의,19 몽환의 환각 하의,14 차오른 몽환의 환각 장갑,19 몽환의 환각 견갑",49942,169754
배선덕,소서리스,1585.0,60,163,33331,"선수필승 Lv. 3,저주받은 인형 Lv. 3,타격의 대가 Lv. 3,속전속결 Lv. 3,아드레날린 Lv. 1","치명 556,특화 1800,신속 114","세상을 구하는 빛 6세트,18각성합계","10레벨 멸화 x3,10레벨 홍염 x1,8레벨 멸화 x1,7레벨 멸화 x3,7레벨 홍염 x3","20 숨죽인 배신의 부름 롱 스태프,19 숨죽인 배신의 부름 머리장식,19 욕망의 배신 상의,19 욕망의 배신 하의,15 가라앉은 욕망의 배신 장갑,19 욕망의 배신 어깨장식",48857,145423
보이드어벤저,버서커,1581.67,60,164,33333,"실드 관통 Lv. 3,불굴 Lv. 3,굳은 의지 Lv. 3,광기 Lv. 3,중갑 착용 Lv. 3","치명 124,특화 174,신속 503","침묵하는 거인의 숲 3세트,9각성합계","9레벨 멸화 x2,7레벨 멸화 x3,7레벨 홍염 x6","20 숨죽인 배신의 부름 대검,19 아득한 배신의 시선 투구,19 아득한 배신의 시선 상의,19 아득한 배신의 시선 하의,19 숨죽인 배신의 부름 장갑,19 숨죽인 배신의 부름 견갑",40038,182476
S순이견주2,소서리스,1580.83,60,186,333331,"원한 Lv. 3,점화 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 3,속전속결 Lv. 3,에테르 포식자 Lv. 1","치명 138,특화 1766,신속 539","카제로스의 군단장 6세트,18각성합계","9레벨 멸화 x3,7레벨 멸화 x3,7레벨 홍염 x5","14 차오른 몽환의 환각 롱 스태프,18 몽환의 환각 머리장식,19 몽환의 환각 상의,19 몽환의 환각 하의,19 몽환의 환각 장갑,19 몽환의 환각 어깨장식",41640,148733
데이지아SR,소서리스,1580.0,60,201,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,환류 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 3,돌격대장 Lv. 1","치명 1532,특화 58,신속 835","카제로스의 군단장 6세트,18각성합계","9레벨 멸화 x4,9레벨 홍염 x1,8레벨 멸화 x3,8레벨 홍염 x3","20 몽환의 악몽 롱 스태프,19 몽환의 악몽 머리장식,19 몽환의 악몽 상의,18 몽환의 악몽 하의,19 몽환의 악몽 장갑,19 몽환의 악몽 어깨장식",40840,140115
잠옷소년,호크아이,1568.33,60,170,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,죽음의 습격 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 1","치명 1388,특화 153,신속 721","세상을 구하는 빛 6세트,18각성합계",,"19 숨죽인 배신의 부름 활,18 숨죽인 배신의 부름 모자,17 숨죽인 배신의 부름 상의,17 아득한 배신의 시선 하의,18 숨죽인 배신의 부름 장갑,18 숨죽인 배신의 부름 견갑",44986,144468
메리크리스마스,바드,1561.67,60,126,333331,"최대 마나 증가 Lv. 3,절실한 구원 Lv. 3,중갑 착용 Lv. 3,각성 Lv. 3,전문의 Lv. 3,위기 모면 Lv. 1","치명 20,특화 607,신속 1680",필드 보스 II 6세트,"8레벨 홍염 x1,7레벨 멸화 x1,7레벨 홍염 x9","16 아득한 배신의 시선 리아네 하프,18 욕망의 배신 머리장식,17 숨죽인 배신의 부름 상의,17 숨죽인 배신의 부름 하의,17 숨죽인 배신의 부름 장갑,18 아득한 배신의 시선 어깨장식",35840,142336
루나틱여행,리퍼,1560.0,60,222,333331,"원한 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,돌격대장 Lv. 3,갈증 Lv. 3,아드레날린 Lv. 1","치명 65,특화 1244,신속 1042","세상을 구하는 빛 6세트,30각성합계","7레벨 멸화 x5,7레벨 홍염 x6","17 메마른 사멸의 밤 대거,17 드러난 사멸의 저주 머리장식,17 드러난 사멸의 저주 상의,17 드러난 사멸의 저주 하의,17 드러난 사멸의 저주 장갑,17 드러난 사멸의 저주 견갑",42528,117994
훈건장,스카우터,1560.0,60,124,33333,"원한 Lv. 3,바리케이드 Lv. 3,돌격대장 Lv. 3,진화의 유산 Lv. 3,아드레날린 Lv. 3","치명 602,특화 1640,신속 46","세상을 구하는 빛 6세트,18각성합계",5레벨 원해 x1,"20 속삭이는 환각의 메아리 서브 머신건,16 속삭이는 환각의 메아리 모자,16 분열한 환각의 절규 상의,16 속삭이는 환각의 메아리 하의,17 환각의 절규 장갑,17 속삭이는 환각의 메아리 견갑",37278,129563
명진님s,바드,1558.33,60,167,33333,"급소 타격 Lv. 3,절실한 구원 Lv. 3,중갑 착용 Lv. 3,각성 Lv. 3,전문의 Lv. 3","치명 45,특화 808,신속 1382",필드 보스 II 4세트,7레벨 홍염 x8,"15 드리운 갈망의 경계 리아네 하프,17 대면한 갈망의 타락 머리장식,18 대면한 갈망의 타락 상의,17 대면한 갈망의 타락 하의,17 대면한 갈망의 타락 장갑,17 대면한 갈망의 타락 어깨장식",34089,130301
헵짚,데모닉,1551.67,60,127,333331,"멈출 수 없는 충동 Lv. 3,원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,돌격대장 Lv. 3,아드레날린 Lv. 1","치명 532,특화 1807,신속 129","세상을 구하는 빛 6세트,18각성합계","9레벨 멸화 x1,8레벨 홍염 x1","19 속삭이는 환각의 메아리 데모닉웨폰,15 속삭이는 환각의 메아리 머리장식,16 분열한 환각의 절규 상의,15 속삭이는 환각의 메아리 하의,16 속삭이는 환각의 메아리 장갑,16 속삭이는 환각의 메아리 견갑",42560,138405
배천덕,건슬링어,1551.67,60,163,333321,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 2,피스메이커 Lv. 1","치명 1349,특화 530,신속 539","세상을 구하는 빛 6세트,18각성합계","7레벨 멸화 x7,7레벨 홍염 x4","20 아득한 배신의 시선 총,15 숨죽인 배신의 부름 모자,15 숨죽인 배신의 부름 상의,15 숨죽인 배신의 부름 하의,16 숨죽인 배신의 부름 장갑,16 숨죽인 배신의 부름 견갑",43267,127208
귀여운눈나,건슬링어,1550.0,60,183,333331,"저주받은 인형 Lv. 3,원한 Lv. 3,예리한 둔기 Lv. 3,피스메이커 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 1","치명 1456,특화 769,신속 54","세상을 구하는 빛 6세트,30각성합계","7레벨 멸화 x6,7레벨 홍염 x5","19 그릇된 구원의 여로 총,15 끝없는 구원의 사슬 모자,15 끝없는 구원의 사슬 상의,15 끝없는 구원의 사슬 하의,16 끝없는 구원의 사슬 장갑,16 끝없는 구원의 사슬 견갑",43724,138963
능동로무법자,건슬링어,1548.33,60,204,333321,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 2,피스메이커 Lv. 1","치명 1106,특화 623,신속 609","세상을 구하는 빛 6세트,18각성합계","9레벨 홍염 x1,8레벨 홍염 x1,7레벨 멸화 x7,7레벨 홍염 x2","17 그릇된 구원의 여로 총,15 그릇된 구원의 여로 모자,15 그릇된 구원의 여로 상의,15 끝없는 구원의 사슬 하의,17 그릇된 구원의 여로 장갑,16 그릇된 구원의 여로 견갑",39911,117168
파이터팽,인파이터,1545.0,60,181,33333,"원한 Lv. 3,예리한 둔기 Lv. 3,극의: 체술 Lv. 3,기습의 대가 Lv. 3,아드레날린 Lv. 3","치명 1027,특화 55,신속 1134","세상을 구하는 빛 6세트,18각성합계","7레벨 멸화 x6,7레벨 홍염 x5","17 아득한 배신의 시선 헤비 건틀릿,15 아득한 배신의 시선 머리장식,15 숨죽인 배신의 부름 상의,15 숨죽인 배신의 부름 하의,16 아득한 배신의 시선 장갑,15 아득한 배신의 시선 견갑",34514,129081
추합,스트라이커,1541.67,60,170,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,일격필살 Lv. 3,슈퍼 차지 Lv. 1","치명 791,특화 1394,신속 40","남겨진 바람의 절벽 6세트,12각성합계",,"18 아득한 배신의 시선 건틀릿,14 아득한 배신의 시선 머리장식,15 숨죽인 배신의 부름 상의,14 아득한 배신의 시선 하의,15 아득한 배신의 시선 장갑,15 아득한 배신의 시선 견갑",41491,131873
능동로솜주먹,리퍼,1540.0,60,204,33333,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,달의 소리 Lv. 3","치명 517,특화 1745,신속 54","세상을 구하는 빛 6세트,18각성합계","7레벨 멸화 x3,7레벨 홍염 x4,6레벨 홍염 x2,5레벨 홍염 x2","15 메마른 사멸의 밤 대거,15 메마른 사멸의 밤 머리장식,15 메마른 사멸의 밤 상의,15 메마른 사멸의 밤 하의,15 메마른 사멸의 밤 장갑,15 메마른 사멸의 밤 견갑",37011,115226
가지꼬치구이,인파이터,1516.67,60,192,33333,"기습의 대가 Lv. 3,원한 Lv. 3,극의: 체술 Lv. 3,돌격대장 Lv. 3,아드레날린 Lv. 3","치명 816,특화 60,신속 1370","세상을 구하는 빛 6세트,30각성합계","7레벨 멸화 x6,7레벨 홍염 x5","15 메마른 사멸의 밤 헤비 건틀릿,20 거짓된 사멸의 대지 머리장식,16 메마른 사멸의 밤 상의,20 거짓된 사멸의 대지 하의,15 사멸의 밤 장갑,20 거짓된 사멸의 대지 견갑",30532,150552
썬연료2,건슬링어,1507.5,60,161,333321,"정기 흡수 Lv. 3,원한 Lv. 3,예리한 둔기 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 2,피스메이커 Lv. 1","치명 1440,특화 436,신속 29","세상을 구하는 빛 6세트,18각성합계","8레벨 멸화 x4,8레벨 홍염 x5,7레벨 멸화 x2","22 추악한 악몽의 꽃 총,21 추악한 악몽의 꽃 모자,21 추악한 악몽의 꽃 상의,21 추악한 악몽의 꽃 하의,21 추악한 악몽의 꽃 장갑,21 추악한 악몽의 꽃 견갑",29181,123834
커피창,창술사,1500.0,60,200,33333,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,돌격대장 Lv. 3,절정 Lv. 3","치명 65,특화 1784,신속 636","세상을 구하는 빛 6세트,30각성합계","8레벨 홍염 x1,7레벨 멸화 x6,7레벨 홍염 x4","20 추악한 악몽의 꽃 창,20 추악한 악몽의 꽃 머리장식,13 타오르는 악몽의 그림자 상의,13 타오르는 악몽의 그림자 하의,20 추악한 악몽의 꽃 장갑,20 추악한 악몽의 꽃 견갑",31248,139932
