name,class,itemLV,battleLV,expeditionLV,engraving_simple,engraving_detail,stat,card,gem_simple,equipment,equipment_name,accessory,power,vitality
유혈랑,홀리나이트,1630.0,60,253,333331,"구슬동자 Lv. 3,급소 타격 Lv. 3,각성 Lv. 3,축복의 오라 Lv. 3,전문의 Lv. 3,중갑 착용 Lv. 1","치명 65,특화 555,신속 1832","남겨진 바람의 절벽,30각","10홍 x3,9홍 x1,7멸 x3,7홍 x4","한손검/25/lv1525/93,투구/21/lv1525/96,상의/20/lv1525/95,하의/20/lv1525/99,장갑/20/lv1525/97,견갑/20/lv1525/100","사로잡힌 광기의 갈망 한손검,사로잡힌 광기의 갈망 투구,사로잡힌 광기의 갈망 상의,사로잡힌 광기의 갈망 하의,사로잡힌 광기의 갈망 장갑,사로잡힌 광기의 갈망 견갑","목걸이/고대/93/중갑 착용+6_급소 타격+3/특화/신속,귀걸이/고대/100/급소 타격+6_전문의+3/신속,귀걸이/고대/100/구슬동자+4_각성+3/신속,반지/고대/80/축복의 오라+3_각성+5/신속,반지/고대/100/급소 타격+6_구슬동자+3/신속",56643,224088
강배,스트라이커,1624.17,60,280,333331,"원한 Lv. 3,기습의 대가 Lv. 3,돌격대장 Lv. 3,질량 증가 Lv. 3,아드레날린 Lv. 3,오의난무 Lv. 1","치명 565,특화 842,신속 1047","세 우마르가 오리라,15각","10멸 x3,10홍 x4,9홍 x1,8홍 x1,7홍 x2","건틀릿/24/lv1525/100,머리장식/19/lv1525/91,상의/19/lv1525/89,하의/19/lv1525/88,장갑/19/lv1525/76,견갑/19/lv1525/90","타락한 마수의 사멸 건틀릿,타락한 마수의 사멸 머리장식,타락한 마수의 사멸 상의,타락한 마수의 사멸 하의,타락한 마수의 사멸 장갑,타락한 마수의 사멸 견갑","목걸이/고대/97/기습의 대가+6_아드레날린+3/치명/특화,귀걸이/고대/98/기습의 대가+3_오의난무+5/신속,귀걸이/고대/98/아드레날린+5_질량 증가+3/신속,반지/고대/97/원한+5_돌격대장+3/특화,반지/고대/95/기습의 대가+6_원한+3/신속",67276,196830
퍄닥퍄닥퍄닥퍄닥,아르카나,1622.5,60,245,333331,"원한 Lv. 3,저주받은 인형 Lv. 3,바리케이드 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 3,황후의 은총 Lv. 1","치명 654,특화 1782,신속 52","세상을 구하는 빛,30각","10멸 x2,9멸 x1,9홍 x6,7홍 x2","덱/22/lv1525/100,머리장식/19/lv1525/94,상의/19/lv1525/96,하의/19/lv1525/95,장갑/19/lv1525/97,어깨장식/19/lv1525/88","전이된 몽환의 악몽 마법 덱,전이된 몽환의 악몽 머리장식,전이된 몽환의 악몽 상의,전이된 몽환의 악몽 하의,전이된 몽환의 악몽 장갑,전이된 몽환의 악몽 어깨장식","목걸이/고대/94/아드레날린+4_타격의 대가+3/치명/특화,귀걸이/고대/70/타격의 대가+6_원한+3/특화,귀걸이/고대/93/원한+6_바리케이드+3/특화,반지/고대/92/타격의 대가+6_저주받은 인형+3/특화,반지/유물/80/황후의 은총+5_아드레날린+3/특화",64251,198122
블루밍소설,배틀마스터,1620.0,60,247,333331,"원한 Lv. 3,오의 강화 Lv. 3,예리한 둔기 Lv. 3,돌격대장 Lv. 3,질량 증가 Lv. 3,아드레날린 Lv. 1","치명 65,특화 1167,신속 1259","세상을 구하는 빛,30각","10멸 x2,10홍 x2,9멸 x3,9홍 x1,7홍 x3","건틀릿/21/lv1525/94,머리장식/18/lv1525/95,상의/18/lv1525/88,하의/19/lv1525/62,장갑/19/lv1525/92,견갑/19/lv1525/78","차오른 몽환의 환각 건틀릿,차오른 몽환의 환각 머리장식,차오른 몽환의 환각 상의,차오른 몽환의 환각 하의,차오른 몽환의 환각 장갑,차오른 몽환의 환각 견갑","목걸이/고대/97/원한+5_질량 증가+3/특화/신속,귀걸이/고대/90/질량 증가+6_원한+3/특화,귀걸이/고대/96/오의 강화+3_예리한 둔기+4/신속,반지/고대/95/아드레날린+5_예리한 둔기+3/신속,반지/고대/100/질량 증가+6_돌격대장+3/특화",62380,189335
신레델라,워로드,1619.17,60,218,333331,"저주받은 인형 Lv. 3,안정된 상태 Lv. 3,원한 Lv. 3,바리케이드 Lv. 3,아드레날린 Lv. 3,전투 태세 Lv. 1","치명 65,특화 1632,신속 543","세상을 구하는 빛,18각",,"랜스/20/lv1525/96,투구/19/lv1525/98,상의/18/lv1525/89,하의/18/lv1525/85,장갑/19/lv1525/71,견갑/19/lv1525/95","전이된 몽환의 악몽 랜스,전이된 몽환의 악몽 투구,전이된 몽환의 악몽 상의,전이된 몽환의 악몽 하의,전이된 몽환의 악몽 장갑,전이된 몽환의 악몽 견갑","목걸이/고대/92/원한+4_바리케이드+3/특화/신속,귀걸이/고대/91/저주받은 인형+6_안정된 상태+3/특화,귀걸이/고대/86/전투 태세+5_원한+3/특화,반지/고대/95/안정된 상태+6_저주받은 인형+3/특화,반지/고대/90/아드레날린+3_안정된 상태+6/특화",58154,221251
피망꼬치구이,창술사,1616.67,60,202,333332,"원한 Lv. 3,예리한 둔기 Lv. 3,돌격대장 Lv. 3,절정 Lv. 3,질량 증가 Lv. 3,저주받은 인형 Lv. 2","치명 61,특화 1799,신속 643","세상을 구하는 빛,30각","10멸 x1,10홍 x1,9멸 x5,9홍 x1,7홍 x3","창/21/lv1525/90,머리장식/18/lv1525/81,상의/18/lv1525/85,하의/17/lv1525/90,장갑/18/lv1525/88,견갑/18/lv1525/95","전이된 몽환의 악몽 창,전이된 몽환의 악몽 머리장식,전이된 몽환의 악몽 상의,전이된 몽환의 악몽 하의,전이된 몽환의 악몽 장갑,전이된 몽환의 악몽 견갑","목걸이/고대/91/돌격대장+6_원한+3/특화/신속,귀걸이/고대/95/질량 증가+6_예리한 둔기+3/특화,귀걸이/고대/91/절정+3_질량 증가+6/특화,반지/고대/90/예리한 둔기+6_질량 증가+3/특화,반지/고대/90/예리한 둔기+6_저주받은 인형+3/특화",65837,201151
너와떠나는여행,블레이드,1615.0,60,234,333322,"원한 Lv. 3,슈퍼 차지 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,잔재된 기운 Lv. 2,아드레날린 Lv. 2","치명 618,특화 1635,신속 60","세상을 구하는 빛,30각","10멸 x3,7멸 x2,7홍 x6","검/20/lv1525/95,머리장식/17/lv1525/80,상의/17/lv1525/81,하의/17/lv1525/85,장갑/19/lv1525/88,견갑/18/lv1525/94","타락한 마수의 사멸 검,타락한 마수의 사멸 머리장식,타락한 마수의 사멸 상의,타락한 마수의 사멸 하의,타락한 마수의 사멸 장갑,타락한 마수의 사멸 견갑","목걸이/고대/75/슈퍼 차지+6_아드레날린+3/치명/특화,귀걸이/고대/88/기습의 대가+6_원한+3/특화,귀걸이/고대/100/슈퍼 차지+6_저주받은 인형+3/특화,반지/고대/97/기습의 대가+6_슈퍼 차지+3/특화,반지/고대/100/원한+5_기습의 대가+3/특화",58044,194671
킹기다킹기,리퍼,1613.33,60,298,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,달의 소리 Lv. 3,아드레날린 Lv. 1","치명 654,특화 1776,신속 63","세상을 구하는 빛,30각","9멸 x3,7홍 x8","대거/21/lv1525/95,머리장식/17/lv1525/94,상의/17/lv1525/96,하의/17/lv1525/96,장갑/17/lv1525/98,견갑/17/lv1525/98","타락한 마수의 사멸 대거,타락한 마수의 사멸 머리장식,타락한 마수의 사멸 상의,타락한 마수의 사멸 하의,타락한 마수의 사멸 장갑,타락한 마수의 사멸 견갑","목걸이/고대/85/기습의 대가+5_예리한 둔기+3/치명/특화,귀걸이/고대/93/예리한 둔기+6_아드레날린+3/특화,귀걸이/고대/95/달의 소리+3_기습의 대가+4/특화,반지/고대/100/예리한 둔기+6_원한+3/특화,반지/고대/97/저주받은 인형+6_아드레날린+3/특화",58858,190471
배선덕,소서리스,1611.67,60,184,33331,"선수필승 Lv. 3,저주받은 인형 Lv. 3,타격의 대가 Lv. 3,속전속결 Lv. 3,아드레날린 Lv. 1","치명 660,특화 1769,신속 55","세상을 구하는 빛,30각","10멸 x4,10홍 x4,7멸 x3","스태프/20/lv1525/98,머리장식/17/lv1525/78,상의/17/lv1525/70,하의/16/lv1525/88,장갑/17/lv1525/90,어깨장식/17/lv1525/94","가라앉은 욕망의 배신 롱 스태프,가라앉은 욕망의 배신 머리장식,가라앉은 욕망의 배신 상의,가라앉은 욕망의 배신 하의,가라앉은 욕망의 배신 장갑,가라앉은 욕망의 배신 어깨장식","목걸이/고대/94/속전속결+5_타격의 대가+3/치명/특화,귀걸이/고대/90/점화+3_아드레날린+6/특화,귀걸이/고대/96/저주받은 인형+6_원한+3/특화,반지/고대/97/타격의 대가+5_저주받은 인형+3/특화,반지/고대/95/저주받은 인형+6_속전속결+3/특화",59938,168208
남순이견주,인파이터,1610.0,60,203,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,극의: 체술 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,아드레날린 Lv. 1","치명 1282,특화 60,신속 1137","세상을 구하는 빛,30각","9멸 x6,7멸 x1,7홍 x4","건틀릿/20/lv1525/93,머리장식/16/lv1525/77,상의/16/lv1525/92,하의/16/lv1525/89,장갑/17/lv1525/77,견갑/17/lv1525/85","타락한 마수의 사멸 헤비 건틀릿,타락한 마수의 사멸 머리장식,타락한 마수의 사멸 상의,타락한 마수의 사멸 하의,타락한 마수의 사멸 장갑,타락한 마수의 사멸 견갑","목걸이/고대/91/원한+5_기습의 대가+3/치명/신속,귀걸이/고대/96/저주받은 인형+6_예리한 둔기+3/신속,귀걸이/고대/90/극의: 체술+3_아드레날린+5/치명,반지/고대/95/저주받은 인형+6_원한+3/신속,반지/고대/92/기습의 대가+6_저주받은 인형+3/치명",57963,194592
