try_num,change_probability,success_this_time,cumulative,master_energy
1,0.01,0.01,0.01,0.0
2,0.011,0.01089,0.02089,0.00465
3,0.012,0.01175,0.03264,0.00977
4,0.013,0.01258,0.04522,0.01535
5,0.014,0.01337,0.05859,0.0214
6,0.015,0.01412,0.07271,0.02791
7,0.016,0.01484,0.08755,0.03489
8,0.017,0.01551,0.10306,0.04233
9,0.018,0.01614,0.1192,0.05024
10,0.019,0.01674,0.13594,0.05861
11,0.02,0.01728,0.15322,0.06745
12,0.02,0.01694,0.17016,0.07675
13,0.02,0.0166,0.18676,0.08605
14,0.02,0.01626,0.20302,0.09535
15,0.02,0.01594,0.21896,0.10465
16,0.02,0.01562,0.23458,0.11395
17,0.02,0.01531,0.24989,0.12325
18,0.02,0.015,0.26489,0.13255
19,0.02,0.0147,0.27959,0.14185
20,0.02,0.01441,0.294,0.15115
21,0.02,0.01412,0.30812,0.16045
22,0.02,0.01384,0.32196,0.16975
23,0.02,0.01356,0.33552,0.17905
24,0.02,0.01329,0.34881,0.18835
25,0.02,0.01302,0.36183,0.19765
26,0.02,0.01276,0.37459,0.20695
27,0.02,0.01251,0.3871,0.21625
28,0.02,0.01226,0.39936,0.22555
29,0.02,0.01201,0.41137,0.23485
30,0.02,0.01177,0.42314,0.24415
31,0.02,0.01154,0.43468,0.25345
32,0.02,0.01131,0.44599,0.26275
33,0.02,0.01108,0.45707,0.27205
34,0.02,0.01086,0.46793,0.28135
35,0.02,0.01064,0.47857,0.29065
36,0.02,0.01043,0.489,0.29995
37,0.02,0.01022,0.49922,0.30925
38,0.02,0.01002,0.50924,0.31855
39,0.02,0.00982,0.51906,0.32785
40,0.02,0.00962,0.52868,0.33715
41,0.02,0.00943,0.53811,0.34645
42,0.02,0.00924,0.54735,0.35575
43,0.02,0.00905,0.5564,0.36505
44,0.02,0.00887,0.56527,0.37435
45,0.02,0.00869,0.57396,0.38365
46,0.02,0.00852,0.58248,0.39295
47,0.02,0.00835,0.59083,0.40225
48,0.02,0.00818,0.59901,0.41155
49,0.02,0.00802,0.60703,0.42085
50,0.02,0.00786,0.61489,0.43015
51,0.02,0.0077,0.62259,0.43945
52,0.02,0.00755,0.63014,0.44875
53,0.02,0.0074,0.63754,0.45805
54,0.02,0.00725,0.64479,0.46735
55,0.02,0.0071,0.65189,0.47665
56,0.02,0.00696,0.65885,0.48595
57,0.02,0.00682,0.66567,0.49525
58,0.02,0.00669,0.67236,0.50455
59,0.02,0.00655,0.67891,0.51385
60,0.02,0.00642,0.68533,0.52315
61,0.02,0.00629,0.69162,0.53245
62,0.02,0.00617,0.69779,0.54175
63,0.02,0.00604,0.70383,0.55105
64,0.02,0.00592,0.70975,0.56035
65,0.02,0.00581,0.71556,0.56965
66,0.02,0.00569,0.72125,0.57895
67,0.02,0.00558,0.72683,0.58825
68,0.02,0.00546,0.73229,0.59755
69,0.02,0.00535,0.73764,0.60685
70,0.02,0.00525,0.74289,0.61615
71,0.02,0.00514,0.74803,0.62545
72,0.02,0.00504,0.75307,0.63475
73,0.02,0.00494,0.75801,0.64405
74,0.02,0.00484,0.76285,0.65335
75,0.02,0.00474,0.76759,0.66265
76,0.02,0.00465,0.77224,0.67195
77,0.02,0.00456,0.7768,0.68125
78,0.02,0.00446,0.78126,0.69055
79,0.02,0.00438,0.78564,0.69985
80,0.02,0.00429,0.78993,0.70915
81,0.02,0.0042,0.79413,0.71845
82,0.02,0.00412,0.79825,0.72775
83,0.02,0.00404,0.80229,0.73705
84,0.02,0.00395,0.80624,0.74635
85,0.02,0.00388,0.81012,0.75565
86,0.02,0.0038,0.81392,0.76495
87,0.02,0.00372,0.81764,0.77425
88,0.02,0.00365,0.82129,0.78355
89,0.02,0.00357,0.82486,0.79285
90,0.02,0.0035,0.82836,0.80215
91,0.02,0.00343,0.83179,0.81145
92,0.02,0.00336,0.83515,0.82075
93,0.02,0.0033,0.83845,0.83005
94,0.02,0.00323,0.84168,0.83935
95,0.02,0.00317,0.84485,0.84865
96,0.02,0.0031,0.84795,0.85795
97,0.02,0.00304,0.85099,0.86725
98,0.02,0.00298,0.85397,0.87655
99,0.02,0.00292,0.85689,0.88585
100,0.02,0.00286,0.85975,0.89515
101,0.02,0.00281,0.86256,0.90445
102,0.02,0.00275,0.86531,0.91375
103,0.02,0.00269,0.868,0.92305
104,0.02,0.00264,0.87064,0.93235
105,0.02,0.00259,0.87323,0.94165
106,0.02,0.00254,0.87577,0.95095
107,0.02,0.00248,0.87825,0.96025
108,0.02,0.00244,0.88069,0.96955
109,0.02,0.00239,0.88308,0.97885
110,0.02,0.00234,0.88542,0.98815
111,0.02,0.00229,0.88771,0.99745
112,1.0,0.1123,1.0,1.0
