try_num,change_probability,success_this_time,cumulative,master_energy
1,0.015,0.015,0.015,0.0
2,0.0165,0.01625,0.03125,0.00698
3,0.018,0.01744,0.04869,0.01465
4,0.0195,0.01855,0.06724,0.02302
5,0.021,0.01959,0.08683,0.03209
6,0.0225,0.02055,0.10738,0.04186
7,0.024,0.02142,0.1288,0.05232
8,0.0255,0.02222,0.15102,0.06348
9,0.027,0.02292,0.17394,0.07534
10,0.0285,0.02354,0.19748,0.0879
11,0.03,0.02408,0.22156,0.10116
12,0.03,0.02335,0.24491,0.11511
13,0.03,0.02265,0.26756,0.12906
14,0.03,0.02197,0.28953,0.14301
15,0.03,0.02131,0.31084,0.15696
16,0.03,0.02067,0.33151,0.17091
17,0.03,0.02005,0.35156,0.18486
18,0.03,0.01945,0.37101,0.19881
19,0.03,0.01887,0.38988,0.21276
20,0.03,0.0183,0.40818,0.22671
21,0.03,0.01775,0.42593,0.24066
22,0.03,0.01722,0.44315,0.25461
23,0.03,0.01671,0.45986,0.26856
24,0.03,0.0162,0.47606,0.28251
25,0.03,0.01572,0.49178,0.29646
26,0.03,0.01525,0.50703,0.31041
27,0.03,0.01479,0.52182,0.32436
28,0.03,0.01435,0.53617,0.33831
29,0.03,0.01391,0.55008,0.35226
30,0.03,0.0135,0.56358,0.36621
31,0.03,0.01309,0.57667,0.38016
32,0.03,0.0127,0.58937,0.39411
33,0.03,0.01232,0.60169,0.40806
34,0.03,0.01195,0.61364,0.42201
35,0.03,0.01159,0.62523,0.43596
36,0.03,0.01124,0.63647,0.44991
37,0.03,0.01091,0.64738,0.46386
38,0.03,0.01058,0.65796,0.47781
39,0.03,0.01026,0.66822,0.49176
40,0.03,0.00995,0.67817,0.50571
41,0.03,0.00965,0.68782,0.51966
42,0.03,0.00937,0.69719,0.53361
43,0.03,0.00908,0.70627,0.54756
44,0.03,0.00881,0.71508,0.56151
45,0.03,0.00855,0.72363,0.57546
46,0.03,0.00829,0.73192,0.58941
47,0.03,0.00804,0.73996,0.60336
48,0.03,0.0078,0.74776,0.61731
49,0.03,0.00757,0.75533,0.63126
50,0.03,0.00734,0.76267,0.64521
51,0.03,0.00712,0.76979,0.65916
52,0.03,0.00691,0.7767,0.67311
53,0.03,0.0067,0.7834,0.68706
54,0.03,0.0065,0.7899,0.70101
55,0.03,0.0063,0.7962,0.71496
56,0.03,0.00611,0.80231,0.72891
57,0.03,0.00593,0.80824,0.74286
58,0.03,0.00575,0.81399,0.75681
59,0.03,0.00558,0.81957,0.77076
60,0.03,0.00541,0.82498,0.78471
61,0.03,0.00525,0.83023,0.79866
62,0.03,0.00509,0.83532,0.81261
63,0.03,0.00494,0.84026,0.82656
64,0.03,0.00479,0.84505,0.84051
65,0.03,0.00465,0.8497,0.85446
66,0.03,0.00451,0.85421,0.86841
67,0.03,0.00437,0.85858,0.88236
68,0.03,0.00424,0.86282,0.89631
69,0.03,0.00412,0.86694,0.91026
70,0.03,0.00399,0.87093,0.92421
71,0.03,0.00387,0.8748,0.93816
72,0.03,0.00376,0.87856,0.95211
73,0.03,0.00364,0.8822,0.96606
74,0.03,0.00353,0.88573,0.98001
75,0.03,0.00343,0.88916,0.99396
76,1.0,0.11084,1.0,1.0
